date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-04-10,6770,5038707,66006984,13.1,13.1,13.1,13.1,1.15,1928
2025-04-11,6770,22279088,293990688,13.0,13.65,12.3,13.65,0.55,8160
2025-04-14,6770,26001723,372398676,14.0,14.7,13.95,14.2,0.55,7301
2025-04-15,6770,12059758,172947930,14.35,14.5,14.15,14.45,0.25,4861
2025-04-16,6770,17186096,242142592,14.25,14.3,14.0,14.1,-0.35,5631
2025-04-17,6770,9924271,139456855,14.0,14.25,13.85,14.1,0.0,3621
2025-04-18,6770,7579420,107654731,14.15,14.4,14.1,14.1,0.0,2742
2025-04-21,6770,6587557,91896973,14.2,14.25,13.8,13.8,-0.3,2575
2025-04-22,6770,8210328,112334801,13.7,13.95,13.35,13.7,-0.1,3028
2025-04-23,6770,17546236,251238895,14.15,14.55,14.1,14.4,0.7,5956
2025-04-24,6770,9717104,137580424,14.5,14.55,14.0,14.0,-0.4,4567
2025-04-25,6770,10872602,153608891,14.3,14.35,13.95,14.0,0.0,3459
2025-04-28,6770,7653121,107726950,14.05,14.2,13.9,14.15,0.15,2697
2025-04-29,6770,13567135,194549014,14.4,14.5,14.1,14.4,0.25,4626
2025-04-30,6770,10018189,143258136,14.4,14.45,14.15,14.15,-0.25,3912
2025-05-02,6770,8399830,120045806,14.35,14.4,14.2,14.25,0.1,2656
2025-05-05,6770,13987254,198579051,14.4,14.65,13.8,14.1,-0.15,4792
2025-05-06,6770,5197943,73457595,14.2,14.2,14.0,14.1,0.0,2055
2025-05-07,6770,5756512,81357402,14.25,14.35,14.05,14.1,0.0,2375
2025-05-08,6770,7716967,110059363,14.2,14.45,14.15,14.15,0.05,3014
2025-05-09,6770,12227068,175543263,14.25,14.5,14.15,14.5,0.35,4227
2025-05-12,6770,18341654,276361363,14.7,15.3,14.6,15.25,0.75,6752
2025-05-13,6770,32900444,527597562,15.95,16.3,15.75,16.0,0.75,11190
2025-05-14,6770,18258839,291303962,16.05,16.2,15.7,16.0,0.0,6501
2025-05-15,6770,13942725,219585102,16.05,16.1,15.55,15.65,-0.35,5239
2025-05-16,6770,13792391,212388434,15.6,15.6,15.3,15.3,-0.35,5186
2025-05-19,6770,10288972,158158116,15.25,15.65,15.1,15.3,0.0,3914
2025-05-20,6770,13634578,212138771,15.5,15.75,15.4,15.55,0.25,3946
2025-05-21,6770,8036229,125191569,15.55,15.75,15.4,15.7,0.15,3201
2025-05-22,6770,8588527,132685482,15.5,15.6,15.3,15.6,-0.1,2512
2025-05-23,6770,7955100,123440251,15.6,15.65,15.45,15.45,-0.15,2494
2025-05-26,6770,7671980,118779087,15.55,15.6,15.35,15.45,0.0,2613
2025-05-27,6770,13746014,214001187,15.55,15.8,15.4,15.55,0.1,3807
2025-05-28,6770,17800593,278664599,15.7,16.1,15.35,15.4,-0.15,5694
2025-05-29,6770,12510408,194783528,15.65,15.8,15.4,15.5,0.1,3297
2025-06-02,6770,14526068,217536915,15.5,15.5,14.75,14.75,-0.75,5652
2025-06-03,6770,8709474,128907187,15.0,15.15,14.6,14.6,-0.15,3228
2025-06-04,6770,10682230,160201348,14.75,15.2,14.75,14.9,0.3,3354
2025-06-05,6770,10059778,152316115,14.9,15.35,14.8,15.05,0.15,3471
2025-06-06,6770,16650736,257449926,15.0,15.75,14.9,15.55,0.5,5705
2025-06-09,6770,12265858,191393070,15.65,15.75,15.3,15.65,0.1,4960
2025-06-10,6770,13102421,208035157,15.7,16.05,15.65,15.8,0.15,4393
2025-06-11,6770,11261877,177090343,15.85,15.9,15.6,15.65,-0.15,3444
2025-06-12,6770,11335305,178368375,15.65,15.85,15.55,15.8,0.15,3154
2025-06-13,6770,18485913,281234094,15.6,15.65,15.0,15.0,-0.8,7185
2025-06-16,6770,8070363,121002682,15.0,15.15,14.8,14.9,-0.1,3076
2025-06-17,6770,9531064,144445203,15.1,15.4,14.95,15.0,0.1,3777
2025-06-18,6770,21863527,340430407,15.0,16.0,14.95,15.95,0.95,6478
2025-06-19,6770,34636022,540900409,16.15,16.15,15.3,15.4,-0.55,10471
2025-06-20,6770,21293630,319523865,15.35,15.55,14.75,15.0,-0.4,7603
2025-06-23,6770,11790846,173868066,14.65,14.95,14.5,14.9,-0.1,3751
2025-06-24,6770,15503712,237947680,15.15,15.5,15.1,15.4,0.5,4596
2025-06-25,6770,11450404,176690536,15.6,15.6,15.3,15.4,0.0,3005
2025-06-26,6770,15114744,236639462,15.5,15.9,15.4,15.4,0.0,5038
2025-06-27,6770,8993203,139583868,15.55,15.75,15.35,15.45,0.05,3189
2025-06-30,6770,7862855,121130056,15.45,15.55,15.3,15.4,-0.05,2286
2025-07-01,6770,8548031,132216533,15.4,15.6,15.35,15.5,0.1,2865
2025-07-02,6770,27204569,429980364,15.6,16.05,15.3,16.05,0.55,6482
2025-07-03,6770,99255086,1698865462,17.2,17.65,16.3,17.65,1.6,25723
2025-07-04,6770,206015674,3702576999,17.8,18.6,17.4,17.65,0.0,66215
2025-07-07,6770,49693713,853751178,17.5,17.5,16.8,17.3,-0.35,15934
2025-07-08,6770,46555982,769728555,17.2,17.2,16.25,16.25,-1.05,15394
2025-07-09,6770,30313845,486885232,16.25,16.35,15.85,15.95,-0.3,8881
2025-07-10,6770,19567599,308869409,16.0,16.15,15.6,15.6,-0.35,6568
2025-07-11,6770,22721505,363326646,15.7,16.2,15.65,16.15,0.55,6968
2025-07-14,6770,13647353,220618496,16.25,16.35,15.9,16.2,0.05,4771
2025-07-15,6770,9673864,157363415,16.1,16.4,16.1,16.3,0.1,3917
2025-07-16,6770,11204061,182510554,16.2,16.4,16.2,16.25,-0.05,5257
2025-07-17,6770,18698631,308994633,16.25,16.75,16.15,16.65,0.4,6714
2025-07-18,6770,16691906,278882364,16.8,16.95,16.5,16.65,0.0,6015
2025-07-21,6770,21052848,352646991,16.6,17.1,16.35,16.85,0.2,6555
2025-07-22,6770,55455873,930240012,17.2,17.3,16.1,16.25,-0.6,17582
2025-07-23,6770,41659580,650295214,15.8,15.8,15.45,15.7,-0.55,15921
2025-07-24,6770,29756383,456480189,15.65,15.7,15.2,15.25,-0.45,9902
2025-07-25,6770,15312006,234960880,15.25,15.6,15.2,15.3,0.05,5503
2025-07-28,6770,16377474,248423295,15.25,15.35,15.05,15.15,-0.15,5808
2025-07-29,6770,18889853,284087620,15.15,15.3,14.9,14.9,-0.25,6118
2025-07-30,6770,22192466,336552262,14.9,15.5,14.8,15.35,0.45,6879
2025-07-31,6770,13978246,211120417,15.3,15.35,15.0,15.0,-0.35,4601
2025-08-01,6770,12302378,185228768,14.8,15.25,14.65,15.25,0.25,4159
2025-08-04,6770,24325554,361802526,14.85,15.0,14.7,14.95,-0.3,6169
2025-08-05,6770,16284982,248685614,15.0,15.6,15.0,15.3,0.35,5020
2025-08-06,6770,12524983,189065696,15.3,15.3,14.95,15.05,-0.25,3688
2025-08-07,6770,12264942,183844362,15.1,15.2,14.85,14.85,-0.2,4527
2025-08-08,6770,15406611,231431700,14.8,15.25,14.8,14.9,0.05,4632
2025-08-11,6770,10182339,151886804,14.95,15.05,14.75,15.0,0.1,3172
2025-08-12,6770,13523023,206308151,15.0,15.4,15.0,15.3,0.3,4352
2025-08-13,6770,16756833,259549290,15.4,15.7,15.25,15.3,0.0,5325
2025-08-14,6770,17598535,274078144,15.3,15.7,15.3,15.6,0.3,5198
2025-08-15,6770,12628189,196101176,15.7,15.7,15.4,15.6,0.0,4582
2025-08-18,6770,19004833,299745653,15.65,15.9,15.55,15.9,0.3,6323
2025-08-19,6770,13939064,222198566,16.0,16.25,15.7,15.9,0.0,4812
2025-08-20,6770,13145177,204927171,15.9,15.9,15.35,15.45,-0.45,4920
